station,split,year,s2,s1
AmeriFlux_US-xDJ,train,2024,34,48
AmeriFlux_US-xDL,train,2020,2,2
AmeriFlux_US-xDL,train,2021,25,28
AmeriFlux_US-xDL,train,2022,41,29
AmeriFlux_US-xDL,train,2023,33,29
AmeriFlux_US-xDL,train,2024,34,28
AmeriFlux_US-xHA,train,2020,11,12
AmeriFlux_US-xHA,train,2021,22,24
AmeriFlux_US-xHA,train,2022,26,49
AmeriFlux_US-xHA,train,2023,26,31
AmeriFlux_US-xHA,train,2024,11,15
AmeriFlux_US-xJE,train,2019,30,12
AmeriFlux_US-xJE,train,2020,54,32
AmeriFlux_US-xJE,train,2021,60,27
AmeriFlux_US-xJE,train,2022,64,30
AmeriFlux_US-xJE,train,2023,8,2
AmeriFlux_US-xJR,train,2019,61,54
AmeriFlux_US-xJR,train,2020,116,88
AmeriFlux_US-xJR,train,2021,104,87
AmeriFlux_US-xJR,train,2022,100,56
AmeriFlux_US-xJR,train,2023,3,3
AmeriFlux_US-xKA,train,2021,9,14
AmeriFlux_US-xKA,train,2022,48,54
AmeriFlux_US-xKA,train,2023,34,55
AmeriFlux_US-xKA,train,2024,42,49
AmeriFlux_US-xNG,train,2021,14,22
AmeriFlux_US-xNG,train,2022,36,74
AmeriFlux_US-xNG,train,2023,36,85
AmeriFlux_US-xNG,train,2024,32,79
AmeriFlux_US-xRM,val,2021,10,34
AmeriFlux_US-xRM,val,2022,32,79
AmeriFlux_US-xRM,val,2023,31,115
AmeriFlux_US-xRM,val,2024,38,111
AmeriFlux_US-xSC,train,2021,7,12
AmeriFlux_US-xSC,train,2022,30,55
AmeriFlux_US-xSC,train,2023,23,54
AmeriFlux_US-xSC,train,2024,26,51
AmeriFlux_US-xSE,train,2020,27,55
AmeriFlux_US-xSE,train,2021,27,55
AmeriFlux_US-xSE,train,2022,33,57
AmeriFlux_US-xSE,train,2023,29,54
AmeriFlux_US-xSE,train,2024,28,51
AmeriFlux_US-xSJ,train,2020,3,12
AmeriFlux_US-xSJ,train,2021,50,116
AmeriFlux_US-xSJ,train,2022,49,59
AmeriFlux_US-xSJ,train,2023,51,60
AmeriFlux_US-xSJ,train,2024,2,3
AmeriFlux_US-xUK,oos,2020,61,57
AmeriFlux_US-xUK,oos,2021,66,58
AmeriFlux_US-xUK,oos,2022,80,48
AmeriFlux_US-xUK,oos,2023,67,51
AmeriFlux_US-xUK,oos,2024,74,45
AmeriFlux_US-xUN,train,2021,22,14
AmeriFlux_US-xUN,train,2022,41,0
AmeriFlux_US-xUN,train,2023,36,0
AmeriFlux_US-xUN,train,2024,43,0
AmeriFlux_US-xWD,train,2019,1,1
AmeriFlux_US-xWD,train,2020,63,50
AmeriFlux_US-xWD,train,2021,71,56
AmeriFlux_US-xWD,train,2022,62,51
AmeriFlux_US-xWD,train,2023,67,57
AmeriFlux_US-xWD,train,2024,57,48
ICOS_BE-Bra,oos,2020,41,234
ICOS_BE-Bra,oos,2021,31,233
ICOS_BE-Bra,oos,2022,40,118
ICOS_BE-Bra,oos,2023,25,117
ICOS_BE-Bra,oos,2024,16,109
ICOS_BE-Lon,oos,2018,31,158
ICOS_BE-Lon,oos,2019,35,234
ICOS_BE-Lon,oos,2020,50,234
ICOS_BE-Lon,oos,2021,29,233
ICOS_BE-Lon,oos,2022,44,118
ICOS_BE-Lon,oos,2023,34,118
ICOS_BE-Lon,oos,2024,3,29
ICOS_BE-Maa,oos,2019,8,59
ICOS_BE-Maa,oos,2020,47,173
ICOS_BE-Maa,oos,2021,32,174
ICOS_BE-Maa,oos,2022,43,87
ICOS_BE-Maa,oos,2023,27,88
ICOS_BE-Maa,oos,2024,26,81
ICOS_BE-Vie,oos,2018,12,82
ICOS_BE-Vie,oos,2019,17,179
ICOS_BE-Vie,oos,2020,25,170
ICOS_BE-Vie,oos,2021,15,176
ICOS_BE-Vie,oos,2022,21,89
ICOS_BE-Vie,oos,2023,16,88
ICOS_BE-Vie,oos,2024,11,83
ICOS_CH-Cha,train,2017,39,168
ICOS_CH-Cha,train,2018,49,176
ICOS_CH-Cha,train,2019,44,173
ICOS_CH-Cha,train,2020,51,173
ICOS_CH-Dav,oos,2017,22,216
ICOS_CH-Dav,oos,2018,33,232
ICOS_CH-Dav,oos,2019,26,230
ICOS_CH-Dav,oos,2020,33,238
ICOS_CH-Dav,oos,2021,29,218
ICOS_CH-Dav,oos,2022,34,117
ICOS_CH-Dav,oos,2023,31,116
ICOS_CH-Dav,oos,2024,31,109
ICOS_CH-Fru,train,2017,36,167
ICOS_CH-Fru,train,2018,47,175
ICOS_CH-Fru,train,2019,46,173
ICOS_CH-Fru,train,2020,53,173
ICOS_CH-Lae,val,2017,32,218
ICOS_CH-Lae,val,2018,50,232
ICOS_CH-Lae,val,2019,52,232
ICOS_CH-Lae,val,2020,47,234
ICOS_CH-Oe2,train,2017,22,219
ICOS_CH-Oe2,train,2018,28,233
ICOS_CH-Oe2,train,2019,28,232
ICOS_CH-Oe2,train,2020,24,234
ICOS_CZ-BK1,train,2017,9,172
ICOS_CZ-BK1,train,2018,17,176
ICOS_CZ-BK1,train,2019,16,177
ICOS_CZ-BK1,train,2020,17,175
ICOS_CZ-KrP,train,2017,0,235
ICOS_CZ-KrP,train,2018,41,235
ICOS_CZ-KrP,train,2019,43,239
ICOS_CZ-KrP,train,2020,37,239
ICOS_CZ-Lnz,train,2017,32,177
ICOS_CZ-Lnz,train,2018,53,175
ICOS_CZ-Lnz,train,2019,50,178
ICOS_CZ-Lnz,train,2020,50,175
ICOS_CZ-RAJ,train,2017,26,177
ICOS_CZ-RAJ,train,2018,39,175
ICOS_CZ-RAJ,train,2019,39,178
ICOS_CZ-RAJ,train,2020,39,176
ICOS_CZ-Stn,train,2017,14,233
ICOS_CZ-Stn,train,2018,23,236
ICOS_CZ-Stn,train,2019,21,236
ICOS_CZ-Stn,train,2020,24,234
ICOS_CZ-wet,train,2017,22,174
ICOS_CZ-wet,train,2018,54,176
ICOS_CZ-wet,train,2019,50,180
ICOS_CZ-wet,train,2020,49,180
ICOS_CZ-wet,train,2021,31,174
ICOS_CZ-wet,train,2022,11,88
ICOS_CZ-wet,train,2023,34,89
ICOS_CZ-wet,train,2024,36,75
ICOS_DE-Geb,oos,2017,22,236
ICOS_DE-Geb,oos,2018,43,234
ICOS_DE-Geb,oos,2019,43,229
ICOS_DE-Geb,oos,2020,0,1
ICOS_DE-Gri,oos,2020,5,32
ICOS_DE-Gri,oos,2021,20,219
ICOS_DE-Gri,oos,2022,32,113
ICOS_DE-Gri,oos,2023,23,117
ICOS_DE-Gri,oos,2024,36,109
ICOS_DE-Har,train,2021,6,108
ICOS_DE-Har,train,2022,32,121
ICOS_DE-Har,train,2023,20,117
ICOS_DE-Har,train,2024,11,107
ICOS_DE-HoH,val,2017,20,236
ICOS_DE-HoH,val,2018,52,234
ICOS_DE-HoH,val,2019,33,234
ICOS_DE-HoH,val,2020,37,240
ICOS_DE-HoH,val,2021,26,231
ICOS_DE-HoH,val,2022,34,115
ICOS_DE-HoH,val,2023,25,115
ICOS_DE-HoH,val,2024,31,115
ICOS_DE-Kli,train,2017,18,235
ICOS_DE-Kli,train,2018,40,234
ICOS_DE-Kli,train,2019,32,234
ICOS_DE-Kli,train,2020,41,239
ICOS_DE-Kli,train,2021,23,234
ICOS_DE-Kli,train,2022,36,113
ICOS_DE-Kli,train,2023,25,117
ICOS_DE-Kli,train,2024,12,33
ICOS_DE-Obe,train,2017,4,171
ICOS_DE-Obe,train,2018,24,175
